Common,Scientific,Rating,Tag,Human,Bee,Notes,URL,URL2
Juçara,Euterpe edulis,1,,1,,,,
Acai palm,Euterpe oleracea,1,,1,,,,
Cherry ballart,Exocarpos cupressiformis,2,,2,,Unclear if edible?,,
,Exocarpus,2,,2,,,,
Arizona kidneywood,Eysenhardtia orthocarpa,2,bee,0,2,,,
Texas kidneywood,Eysenhardtia texana,1,bee,0,1,,http://www.wildflower.org/mobile/expert/show.php?id=6723,
https://fallingfruit.org/,Fagopyrum,2,,2,,,,
American beech,Fagus grandifolia,2,,2,,,,
European beech,Fagus sylvatica,1,,1,,,,
https://fallingfruit.org/,Fallopia,2,,2,,,,
Feijoa,Feijoa sellowiana,1,,1,,,,
http://www.fruitipedia.com/,Feronia,2,syn,2,,[syn] Limonia,,
http://pfaf.org,Ferula,2,,2,,PFAF = 3,,
Fig,Ficus,2,,2,,,,
Florida fig,Ficus aurea,1,,1,,,http://www.eattheweeds.com/wild-ficus-who-gives-an-edible-fig-2/,
,Ficus auriculata,1,,1,,Fruit,http://www.eattheweeds.com/wild-ficus-who-gives-an-edible-fig-2/,
,Ficus benghalensis,-1,,-1,,"Barely edible fruit, the worst of famine food",http://www.eattheweeds.com/wild-ficus-who-gives-an-edible-fig-2/,
Weeping fig,Ficus benjamina,1,,1,,Ripe fruit,http://www.eattheweeds.com/wild-ficus-who-gives-an-edible-fig-2/,
,Ficus binnendiijkii,-1,,-1,,Man made hybrid,,
,Ficus capensis,1,,1,,"fruit, young aerial shoots eaten as a vegetable, bark is chewed with cola nuts to alleviate thirst",http://www.eattheweeds.com/wild-ficus-who-gives-an-edible-fig-2/,
Common fig,Ficus carica,1,,1,,Ripe fruit,http://www.eattheweeds.com/wild-ficus-who-gives-an-edible-fig-2/,
Shortleaf fig,Ficus citrifloia,-1,,-1,,Tasteless fruit,http://www.eattheweeds.com/wild-ficus-who-gives-an-edible-fig-2/,
Rubber fig,Ficus elastica,1,,1,,fruit and young leaf shoots cooked,http://www.eattheweeds.com/wild-ficus-who-gives-an-edible-fig-2/,
,Ficus glomerata,1,,1,, young shoots cooked,http://www.eattheweeds.com/wild-ficus-who-gives-an-edible-fig-2/,
,Ficus hirta,1,,1,,"very young top shoot eaten raw, ripe fruit edible",http://www.eattheweeds.com/wild-ficus-who-gives-an-edible-fig-2/,
,Ficus insipida,2,,2,,fruit sometimes good to eat,http://www.eattheweeds.com/wild-ficus-who-gives-an-edible-fig-2/,
,Ficus lacor,1,,1,,young shoots and sour leaves eaten raw or cooked. Fruit also edible,http://www.eattheweeds.com/wild-ficus-who-gives-an-edible-fig-2/,
,Ficus laevigata,1,,1,,Ripe fruit,http://www.eattheweeds.com/wild-ficus-who-gives-an-edible-fig-2/,
Moreton bay fig,Ficus macrophylla,-1,,-1,,"Although edible, they are unpalatable and dry.",,
,Ficus microcarpa,-1,,-1,,No reports on edibility,,
Weeping fig,Ficus nitida,2,syn,2,,[syn] Ficus benjamina,,
Wild fig,Ficus palmata,1,,1,,"fruit edible, unripe figs and leafy young shoots boiled and fried and used as a green vegetable",http://www.eattheweeds.com/wild-ficus-who-gives-an-edible-fig-2/,
Central American banyan,Ficus pertusa,1,,1,,Sweet edible fruit,http://tropical.theferns.info/viewtropical.php?id=Ficus+pertusa,
Rock fig,Ficus petiolaris,0,,0,,,,
,Ficus pseudoplama,1,,1,, young leaves are eaten raw in salads or cooked as a potherb. Fruits also edible,http://www.eattheweeds.com/wild-ficus-who-gives-an-edible-fig-2/,
,Ficus pumila,1,,1,,Ripe fruit,http://www.eattheweeds.com/wild-ficus-who-gives-an-edible-fig-2/,
Climbing fig,Ficus pumila,1,,1,,,http://www.eattheweeds.com/climbing-fig-creeping-fig/,
,Ficus racemosa,1,,1,,"ripe fruit edible, unripe fruits picked, young shoots eaten raw or cooked",http://www.eattheweeds.com/wild-ficus-who-gives-an-edible-fig-2/,
Climbing fig,Ficus repens,1,syn,1,,[syn] Ficus pumila,,
Cuban-laurel,Ficus retusa,-1,,-1,,,,
Port jackson fig,Ficus rubiginosa,2,,2,,Probably not very edible...,,
,Ficus sycomorus,1,,1,,"fruit edible, leaves eaten in soups.",http://www.eattheweeds.com/wild-ficus-who-gives-an-edible-fig-2/,
http://pfaf.org,Filipendula,2,,2,,PFAF = 3,,
http://fruitandnuttrees.com/,Finschia,2,,2,,,,
Chinese parasol tree,Firmiana simplex,-1,,-1,,,,
,Flacourtia,2,,2,,,,
http://www.fruitipedia.com/,Flueggea,2,,2,,,,
https://fallingfruit.org/,Foeniculum,2,,2,,,,
http://pfaf.org,Forestiera,2,,2,,PFAF = 3,,
Round kumquat,Fortunella crassifolia,1,syn,1,,,,
Kumquat,Fortunella japonica,1,syn,1,,,,
Kumquat,Fortunella margarita,1,syn,1,,Oval kumquat,,
Strawberry,Fragaria,1,,1,,,,
Carolina buckthorn,Frangula caroliniana,2,syn,2,3,[syn] Rhamnus caroliniana,,
Ash,Fraxinus,-1,,-1,,,,
White ash,Fraxinus americana,-1,,-1,,,,
Mexican ash,Fraxinus berlandieriana,-1,,-1,,,,
European ash,Fraxinus excelsior,2,,2,,,,
Himalayan ash,Fraxinus floribunda,2,,2,,,,
Gregg ash,Fraxinus greggii,-1,,-1,,,,
Black ash,Fraxinus nigra,-1,,-1,,,,
Manna ash,Fraxinus ornus,1,,1,,,,
Raywood ash,Fraxinus oxycarpa 'Raywood',0,,0,,,,
Chihuahuan ash,Fraxinus papillosa,0,,0,,,,
Green ash,Fraxinus pennsylvanica,-1,,-1,,,,
Pumpkin ash,Fraxinus profunda,-1,,-1,,,,
Blue ash,Fraxinus quadrangulata,-1,,-1,,,,
Texas ash,Fraxinus texensis,-1,,-1,,,,
Pumpkin ash,Fraxinus tomentosa,-1,syn,-1,,[syn] Fraxinus profunda,,
Velvet ash,Fraxinus velutina,-1,,-1,,,,
Arizona ash,Fraxinus velutina,-1,cyn,-1,,,,
http://pfaf.org,Fritillaria,2,,2,,PFAF > 3,,
http://www.fruitipedia.com/,Fuchsia,2,,2,,,,
https://fallingfruit.org/,Galium,2,,2,,,,
Imbe,Garcinia livingstonei,1,,1,,,,
Purple mangosteen,Garcinia mangostana,1,,1,,,,
,Gardenia,2,,2,,,http://www.eattheweeds.com/edible-flowers-part-eight/,
,Gaultheria,2,,2,,,,
Wintergreen,Gaultheria procumbens,1,,1,,,,
Salal,Gaultheria shallon ,1,,1,,,,
Huckleberry,Gaylussacia,1,,1,,,,
Black huckleberry,Gaylussacia baccata,1,,1,,,,
Dangleberry,Gaylussacia frondosa,1,,1,,,,
,Geijera parviflora,-1,,-1,,,,
http://www.fruitipedia.com/,Genipa,2,,2,,,,
http://pfaf.org,Gentiana,2,,2,,PFAF = 3,,
https://fallingfruit.org/,Geoffroea,2,,2,,,,
Chilean palo verde,Geoffroea decorticans,1,,1,,,http://tropical.theferns.info/viewtropical.php?id=Geoffroea+decorticans,
http://pfaf.org,Geum,2,,2,,PFAF = 3,,
http://fruitandnuttrees.com/,Gevuina,2,,2,,,,
Ginkgo,Ginkgo biloba,1,,1,,,,
https://fallingfruit.org/,Glechoma,2,,2,,,,
Honey locust,Gleditsia triacanthos,1,,1,,,,
Honeylocust,Gleditsia triacanthos,1,cyn,1,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Glenniea,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Gluta,2,,2,,,,
http://pfaf.org,Glyceria,2,,2,,PFAF = 3,,
https://fallingfruit.org/,Glycine,2,,2,,,,
http://www.fruitipedia.com/,Glycosmis,2,,2,,,,
http://pfaf.org,Glycyrrhiza,2,,2,,PFAF > 3,,
,Gomortega,2,,2,,,,
https://fallingfruit.org/,Gomphidius,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Grevillea,2,,2,,,,
Silky oak,Grevillea robusta,2,,2,,,http://www.pfaf.org/user/Plant.aspx?LatinName=Grevillea+robusta,
Phalsa,Grewia asiatica,1,,1,,"Southern Asia, sweet and sour fruit",,
https://fallingfruit.org/,Grifola,2,,2,,,,
https://fallingfruit.org/,Grindelia,2,,2,,,,
http://www.fruitipedia.com/,Guilielma,2,syn,2,,[syn] Bactris,,
Wild quince,Guioa semiglauca,2,,2,,,,
Kentucky coffeetree,Gymnocladus dioicus,-1,,-1,,,,
Silverbell,Halesia,-1,,-1,,,,
http://pfaf.org,Halimione,2,,2,,PFAF = 3,,
Witch-hazel,Hamamelis,1,,1,,User added (medicinal use),,
Common witch-hazel,Hamamelis virginiana,1,,1,,User added (medicinal use),,
http://www.fruitipedia.com/,Hancornia,2,,2,,,,
Kaffir plum,Harpephyllum caffrum,1,,1,,"Sour, often used for jams",,
http://pfaf.org,Hedeoma,2,,2,,PFAF = 3,,
Ivy,Hedera,-1,,-1,,Poisonous,,
http://pfaf.org,Hedysarum,2,,2,,PFAF > 3,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Heisteria,2,,2,,,,
https://fallingfruit.org/,Helianthus,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Helicia,2,,2,,,,
https://fallingfruit.org/,Hemerocallis,2,,2,,,,
http://fruitandnuttrees.com/,Hemiphragma,2,,2,,,,
,Heptacodium,-1,,-1,,Heptacodium miconioides,,
http://pfaf.org,Heracleum,2,,2,,PFAF = 3,,
http://fruitandnuttrees.com/,Heritiera,2,,2,,,,
,Herrisantia crispa,,,,1,,http://www.desertsurvivors.org/Nursery/Plant_DB/PlantList.html,
Toyon,Heteromeles arbutifolia,1,,1,,,http://eattheweeds.com/forum/index.php?topic=92.0,
Toyon,Heteromeles salicifolia,1,syn,1,,[syn] Heteromeles arbutifolia,,
,Hibiscus biseptis,,,,1,,http://www.desertsurvivors.org/Nursery/Plant_DB/PlantList.html,
,Hibiscus coulteri,,,,1,,http://www.desertsurvivors.org/Nursery/Plant_DB/PlantList.html,
Rose of sharon,Hibiscus syriaca,1,syn,1,,,,
Rose of sharon,Hibiscus syriacus,1,,1,,,,
http://fruitandnuttrees.com/,Hicksbeachia,2,,2,,,,
http://pfaf.org,Himalayacalamus,2,,2,,PFAF = 3,,
Manchineel,Hippomane,-1,,-1,,Poisonous,,
Sea-buckthorn,Hippophae,1,,1,,,,
Common sea-buckthorn,Hippophae rhamnoides,1,,1,,,,
Willow-leaved sea-buckthorn,Hippophae salicifolia ,1,,1,,,,
Chinese sea-buckthorn,Hippophae sinensis ,1,,1,,,,
http://pfaf.org,Holboellia,2,,2,,PFAF = 3,,
http://pfaf.org,Honckenya,2,,2,,PFAF = 3,,
http://pfaf.org,Hordeum,2,,2,,PFAF > 3,,
http://pfaf.org,Hosta,2,,2,,PFAF = 3,,
http://pfaf.org,Houttuynia,2,,2,,PFAF = 3,,
Oriental raisin tree,Hovenia dulcis,1,,1,,"Sweet, fragrant flower stalks. Dried, similar to raisins.",,
https://fallingfruit.org/,Humulus,2,,2,,,,
http://pfaf.org,Hydrangea,2,,2,,PFAF > 3,,
http://pfaf.org,Hydrophyllum,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Hylocereus,2,,2,,,,
https://fallingfruit.org/,Hylotelephium,2,,2,,,,
http://www.fruitipedia.com/,Hymenaea,2,,2,,,,
https://fallingfruit.org/,Hypericum,2,,2,,,,
Doum palm,Hyphaene thebaica,1,,1,,,,
https://fallingfruit.org/,Hypomyces,2,,2,,,,
http://pfaf.org,Hyssopus,2,,2,,PFAF > 3,,
Holly,Ilex,2,,2,,,,
English holly,Ilex aquifolium,1,,1,,"Tea. Berries for brandy, roasted.",http://www.eattheweeds.com/hollies-caffein-antioxidants/,
Savannah holly,Ilex attenuata,-1,,-1,,,,
Dahoon holly,Ilex cassine,-1,,-1,,Toxic,http://www.eattheweeds.com/hollies-caffein-antioxidants/,
Sweet gallberry,Ilex coriacea,1,bee,1,1,Berries edible? Tea,http://eattheweeds.com/forum/index.php?topic=85.0,
Chinese holly,Ilex cornuta,2,,2,,Edibility uncertain,http://www.eattheweeds.com/hollies-caffein-antioxidants/,
Meadow holly,Ilex decidua,-1,,-1,,,,
Gallberry,Ilex glabra,1,bee,1,1,Tea. Berries not edible,http://www.eattheweeds.com/hollies-caffein-antioxidants/,
Guayusa,Ilex guayusa,1,,1,,Used to make tea.,,
Lusterleaf holly,Ilex latifolia ,1,,1,,Tea,http://www.eattheweeds.com/hollies-caffein-antioxidants/,
American holly,Ilex opaca,1,,1,1,Tea without caffeine,http://www.eattheweeds.com/hollies-caffein-antioxidants/,
American holly,Ilex opaca,1,,1,,Tea,http://www.eattheweeds.com/hollies-caffein-antioxidants/,
Yerba mate,Ilex paraguariensis,1,,1,,,,
Winterberry,Ilex verticillata,1,,1,,Tea without caffeine,http://www.eattheweeds.com/hollies-caffein-antioxidants/,
Yaupon holly,Ilex vomitoria,1,,1,,,http://www.eattheweeds.com/yaupon-holly-ilex-vomitoria/,
Yaupon,Ilex vomitoria,1,cyn,1,,,,
http://pfaf.org,Impatiens,2,,2,,PFAF = 3,,
http://pfaf.org,Imperata,2,,2,,PFAF = 3,,
Ice-cream bean,Inga edulis,1,,1,,Popular in Amazon,,
Pacay,Inga feuilleei,1,,1,,,,
http://fruitandnuttrees.com/,Inocarpus,2,,2,,,,
http://pfaf.org,Inula,2,,2,,PFAF = 3,,
https://fallingfruit.org/,Ipomoea,2,,2,,,,
Tree morning glory,Ipomoea arborescens,-1,,-1,,Contains LSD...,,
African mango,Irvingia,2,,2,,,,
,Jacaratia,2,,2,,,,
http://www.fruitipedia.com/,Jambos,2,,2,,,,
Lilly pilly,Jambosa,2,syn,2,,[syn] Syzygium,,
http://www.fruitipedia.com/,Jaracatia,2,,2,,,,
http://www.fruitipedia.com/,Jessenia,2,syn,2,,[syn] Oenocarpus,,
Chilean wine palm,Jubaea chilensis,1,,1,,,,
Walnut,Juglans,1,,1,,,,
Japanese walnut,Juglans ailanthifolia,1,mis,1,,[mis] Vancouver,,
Japanese Walnut,Juglans ailantifolia,1,,1,,,,
Japanese walnut,Juglans ailantifolia,1,,1,,,,
Southern california walnut,Juglans californica,2,,2,,,,
Butternut,Juglans cinerea,1,,1,,,,
Northern california walnut,Juglans hindsii,1,,1,,Small but tasty nut,,
Arizona Black Walnut,Juglans major,2,,2,,,,
Texas walnut,Juglans microcarpa,2,,2,,,http://www.pfaf.org/user/DatabaseSearhResult.aspx,
Black Walnut,Juglans nigra,1,,1,,,,
Persian Walnut,Juglans regia,1,,1,,,,
Juniper,Juniperous,2,syn,2,,[syn] Juniperous,,
Juniper,Juniperus,2,,2,,,,
Ashe juniper,Juniperus ashei,2,,2,,"Juniper berry, flavoring in Germanic dishes",http://eattheweeds.com/forum/index.php?topic=34.0,
California juniper,Juniperus californica ,1,,1,,Juniper berry,,
Chinese juniper,Juniperus chinensis,-1,,-1,,,,
Common juniper,Juniperus communis,1,,1,,"Juniper berry, commercial",,
Alligator juniper,Juniperus deppeana,1,,1,,Juniper berry,,
Syrian juniper,Juniperus drupacea,1,,1,,"Juniper berry, largest",,
One-seed juniper,Juniperus monosperma,2,,2,,Juniper berry,,
Western juniper,Juniperus occidentalis,2,,2,,Juniper berry,,
Utah juniper,Juniperus osteosperma,2,,2,,"Mealy, thin flesh, probably not worth it.",,
Phoenicean juniper,Juniperus phoenicea,1,,1,,Juniper berry,,
Savin juniper,Juniperus sabina,-1,,-1,,Toxic,,
Rocky mountain juniper,Juniperus scopulorum,1,,1,,"Juniper berry, strong flavor",,
Eastern red-cedar,Juniperus verginiana,2,mis,2,,,,
Eastern red-cedar,Juniperus virginiana,2,,2,,"Juniper berry, flavoring for gin, stews, etc",,
Sheep laurel,Kalmia angustifolia,1,bee,-1,1,,,
Mountain laurel,Kalmia latifolia,1,bee,-1,1,,,
Prickly castor oil tree,Kalopanax,-1,,-1,,Kalopanax septemlobus,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Kermadecia,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Kigelia,2,,2,,,,
,Koelreuteria,-1,,-1,,,,
,Koelreuteria bipinnata,-1,,-1,,,,
Golden rain tree,Koelreuteria paniculata,2,,2,,Probably not worth it...,http://www.eattheweeds.com/showers-of-golden-rain-tree-2/,
http://pfaf.org,Kosteletzkya,2,,2,,PFAF > 3,,
http://fruitandnuttrees.com/,Kunzea,2,,2,,,,
Eggfruit,Labatia,2,syn,2,,[syn] Pouteria,,
http://pfaf.org,Lablab,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Lacmellea,2,,2,,,,
https://fallingfruit.org/,Lactarius,2,,2,,,,
https://fallingfruit.org/,Lactuca,2,,2,,,,
https://fallingfruit.org/,Laetiporus,2,,2,,,,
,Lagenaria,2,,2,,,,
Crape myrtle,Lagerstroemia,-1,,-1,,,,
Crepe myrtle,Lagerstroemia,-1,cyn,-1,,,,
Crapemyrtle,Lagerstroemia,-1,cyn,-1,,,,
,Lagunaria,-1,,-1,,Monotypic genus,,
,Lagunaria patersonii,-1,,-1,,,,
Durian,Lahia,2,syn,2,,[syn] Durio,,
http://pfaf.org,Lallemantia,2,,2,,PFAF = 3,,
https://fallingfruit.org/,Lamium,2,,2,,,,
http://www.fruitipedia.com/,Landolphia,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Lannea,2,,2,,,,
http://www.fruitipedia.com/,Lansium,2,,2,,,,
http://fruitandnuttrees.com/,Lapageria,2,,2,,,,
http://pfaf.org,Laportea,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Lardizabala,2,,2,,,,
Larch,Larix,-1,,-1,,,,
https://fallingfruit.org/,Lathraea,2,,2,,,,
https://fallingfruit.org/,Lathyrus,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Laurelia,2,,2,,,,
Stonefruit,Laurocerasus,1,syn,1,,[syn] Prunus,,
Azores laurel,Laurus azorica,0,,0,,,http://www.2020site.org/trees/bay.html,
Bay laurel,Laurus nobilis,1,,1,,,,
https://fallingfruit.org/,Lavandula,2,,2,,,,
http://pfaf.org,Lavatera,2,,2,,PFAF = 3,,
https://fallingfruit.org/,Leccinum,2,,2,,,,
http://fruitandnuttrees.com/,Lecythis,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Lemuropisum,2,,2,,,,
http://pfaf.org,Lens,2,,2,,PFAF > 3,,
http://pfaf.org,Lepidium,2,,2,,PFAF > 3,,
http://www.fruitipedia.com/,Lepisanthes,2,,2,,,,
Coast teatree,Leptospermum laevigatum,-1,,-1,,Leaves used for tea. Seems of little interest.,,
Lemon-scented teatree,Leptospermum petersonii ,2,,2,,Lemony leaves for tea,,
Teatree,Leptospermum scoparium,1,,1,,,,
http://pfaf.org,Lespedeza,2,,2,,PFAF = 3,,
Leadtree,Leucaena,2,,2,,,,
Leucaena cuspidata,Leucaena cuspidata,3,,3,,,,
,Leucaena esculenta,1,,1,,Eaten with salt in Mexico,http://en.wikipedia.org/wiki/Leucaena,
,Leucaena leucocephala,1,,1,,Eaten in SE Asia,http://www.eattheweeds.com/leucaena-leucocephala-food-and-fodder-2/,
Goldenball leadtree,Leucaena retusa,3,,3,-1,,,
Beard-heath,Leucopogon,2,,2,,Small edible fruit,,
http://pfaf.org,Levisticum,2,,2,,PFAF = 3,,
http://pfaf.org,Leymus,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Licania,2,,2,,,,
http://pfaf.org,Ligusticum,2,,2,,PFAF = 3,,
Privet,Ligustrum,-1,,-1,,Poisonous,,
Glossy privet,Ligustrum lucidum,-1,,-1,,Poisonous,,
http://pfaf.org,Lilium,2,,2,,PFAF > 3,,
Curd fruit,Limonia acidissima,1,,1,,,,
https://fallingfruit.org/,Lindera,2,,2,,,,
Walking stick palm,Linospadix monostachya,2,,2,,,,
http://pfaf.org,Linum,2,,2,,PFAF > 3,,
Sweetgum,Liquidambar,-1,,-1,,,,
Tulip tree,Liriodendron,2,bee,-1,2,,,
American tulip tree,Liriodendron tulipifera,1,bee,-1,1,,,
Tulip poplar,Liriodendron tulipifera,1,cyn,-1,1,,,
Lychee,Litchi chinensis,1,,1,,,,
http://fruitandnuttrees.com/,Lithocarpus,2,,2,,,,
http://www.fruitipedia.com/,Litsea,2,,2,,,,
Cabbage-tree palm,Livistona australis,2,,2,,"Edible heart, kills palm",,
Sea coconut,Lodoicea,2,,2,,,,
https://fallingfruit.org/,Lolium,2,,2,,,,
http://pfaf.org,Lomatium,2,,2,,PFAF > 3,,
Honeysuckle,Lonicera,1,,1,,,,
Sweetberry honeysuckle,Lonicera caerulea,1,,1,,,,
Tatarian honeysuckle,Lonicera tatarica,-1,,-1,,,,
Tatarian honeysuckle,Lonicera tataricum,-1,mis,-1,,,,
http://www.desertsurvivors.org/Nursery/Plant_DB/PlantList.html,Lophocereus ,2,,2,,,,
https://fallingfruit.org/,Lotus,2,,2,,,,
Lucuma,Lucuma obovata,1,syn,1,,[syn] Pouteria lucuma,,
Luffa,Luffa,2,,2,,,,
http://pfaf.org,Luma,2,,2,,PFAF = 3,,
http://pfaf.org,Lupinus,2,,2,,PFAF > 3,,
Boxthorn,Lycium,1,,1,,,,
Goji,Lycium barbarum ,1,,1,,,,
Fremont's desert-thorn,Lycium fremontii,2,,2,,,http://apps.cals.arizona.edu/arboretum/taxon.aspx?id=545,http://www.pfaf.org/user/Plant.aspx?LatinName=Lycium+fremontii
http://fruitandnuttrees.com/,Lycopersicon,2,syn,2,,[syn] Solanum,,
http://pfaf.org,Lycopus,2,,2,,PFAF = 3,,
http://pfaf.org,Lycoris,2,,2,,PFAF = 3,,
http://pfaf.org,Lysichiton,2,,2,,PFAF = 3,,
http://pfaf.org,Lysimachia,2,,2,,PFAF = 3,,
,Maackia,-1,,-1,,,,
Macadamia,Macadamia,1,,1,,,,
,Maclura cochinchinensis ,1,,1,,,,
Osage orange,Maclura pomifera,-1,,-1,,"Not edible, except for the seeds",http://www.eattheweeds.com/maclura-pomifera-the-edible-inedible-2/,
Che,Maclura tricuspidata,1,,1,,,http://www.eattheweeds.com/che/,
https://fallingfruit.org/,Macrolepiota,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Macrotyloma,2,,2,,,,
http://www.fruitipedia.com/,Madhuca,2,,2,,,,
Magnolia,Magnolia,2,,2,,,,
Southern magnolia,Magnolia grandiflora,1,,1,,,http://www.eattheweeds.com/edible-flowers-part-six/,
Saucer magnolia,Magnolia soulangeana,-1,,-1,,,,
Saucer magnolia,Magnolia soulangiana,-1,mis,-1,,[mis] Magnolia soulangeana,,
Star magnolia,Magnolia stellata,-1,,-1,,,,
Sweetbay magnolia,Magnolia virginiana,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Magonia,2,,2,,,,
,Mahonia,1,,1,,,http://www.eattheweeds.com/magnolia-viginiana-how-sweet-it-is-2/,
Oregon-grape,Mahonia aquifolium,1,,1,,,,
Laurel sumac ,Malosma laurina,-1,,-1,,,http://www.countrysidemag.com/87-4/sam_thayer/,
Acerola,Malpighia emarginata,1,,1,,Bright red drupe (looks like cherry: Barbados cherry),,
Acerola,Malpighia punicifolia,1,syn,1,,,,
Crabapple,Malus,1,bee,2,1,,,
Southern crabapple,Malus angustifolia,1,bee,2,1,"Not palatable when raw, but can be used to make preserves.",,
Siberian crabapple,Malus baccata,1,,1,1,Dolgo,,
Sweet crabapple,Malus coronaria,1,,1,1,,,
Apple,Malus domestica,1,,1,1,,,
Apple,Malus domesticus,1,syn,1,1,[syn] Malus domestica,,
Japanese flowering crabapple,Malus floribunda,1,bee,2,1,Acid but nice taste.,,
Oregon crabapple,Malus fusca,1,,1,1,,,
Tea crabapple,Malus hupehensis,1,,1,1,"Small fruit, but leaves popularly used for tea in China",,
Prairie crabapple,Malus ioensis,1,bee,2,1,,,
Midget crabapple,Malus micromalus,1,bee,2,1,Not much known,,
Plum-leaf crabapple,Malus prunifolia,1,,1,1,Used fresh or in preserves?,,
Apple,Malus pumila,1,syn,1,1,,,
Sargents crabapple,Malus sargentii,1,,1,1,,,
European crabapple,Malus sylvestris,1,,1,1,,,
Cut-leaf crabapple,Malus transitoria,1,bee,2,1,,,
,Malus trilobata,1,bee,-1,1,"Fruit very small, basically inedible",,
Pillar crabapple,Malus tschonoskii,1,bee,2,1,,,
,Malus yunnanensis,1,bee,-1,1,"Gritty, does not sound appetizing",,
Redbud crabapple,Malus zumi,1,bee,2,1,var. Calocarpa,,
https://fallingfruit.org/,Malva,2,,2,,,,
http://www.fruitipedia.com/,Mammea,2,,2,,,,
Mango,Mangifera,1,,1,,,,
https://fallingfruit.org/,Manihot,2,,2,,,,
Manihot caudata,Manihot caudata,3,,3,,,,
Sapodilla,Manilkara zapota,1,,1,,Sweet and malty fruit,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Manniophytom,2,,2,,,,
,Manoao,2,,2,,,,
https://fallingfruit.org/,Marasmius,2,,2,,,,
http://www.fruitipedia.com/,Maripa,2,,2,,,,
http://www.fruitipedia.com/,Marlierea,2,,2,,,,
https://fallingfruit.org/,Marrubium,2,,2,,,,
http://fruitandnuttrees.com/,Marsdenia,2,,2,,,,
Bush banana,Masdenia australis,1,,1,,"Significant bush food, staple",,
,Matisia,2,,2,,,,
https://fallingfruit.org/,Matricaria,2,,2,,,,
https://fallingfruit.org/,Matteuccia,2,,2,,,,
http://www.fruitipedia.com/,Mauritia,2,,2,,,,
http://www.fruitipedia.com/,Maximiliana,2,syn,2,,[syn] Attalea,,
http://pfaf.org,Medeola,2,,2,,PFAF > 3,,
https://fallingfruit.org/,Medicago,2,,2,,,,
http://pfaf.org,Megacarpaea,2,,2,,PFAF = 3,,
Melaleuca,Melaleuca,-1,,-1,,Medicinal oil from leaves,,
Narrow-leaved tea-tree,Melaleuca alternifolia,1,,1,,Source of tea tree oil,,
 Cajeput tree,Melaleuca leucadendra,2,,2,,Oil from the leaves,http://apps.cals.arizona.edu/arboretum/taxon.aspx?id=703,http://en.wikipedia.org/wiki/Melaleuca_leucadendra
,Melancium campestre,2,,2,,,,
http://fruitandnuttrees.com/,Melastoma,2,,2,,,,
http://www.fruitipedia.com/,Melia,2,,2,,,,
Chinaberry tree,Melia azedarach,-1,,-1,,Toxic,http://eattheweeds.com/forum/index.php?topic=422.0,
Chinaberry,Melia azedarach,-1,cyn,-1,,,,
Santol,Melia koetjape,1,syn,1,,[syn] Sandoricum koetjape,,
http://pfaf.org,Melianthus,2,,2,,PFAF = 3,,
Mamoncillo,Melicoccus bijugatus,1,,1,,"Cultivated, like a lime",,
https://fallingfruit.org/,Melilotus,2,,2,,,,
Mamoncillo,Meliococca bijuga,2,syn,2,,[syn] Melicoccus bijugatus,,
https://fallingfruit.org/,Melissa,2,,2,,,,
http://fruitandnuttrees.com/,Melodorum,2,,2,,,,
,Melodorum,2,,2,,,,
https://fallingfruit.org/,Mentha,2,,2,,,,
Medlar,Mespilus,1,,1,,,,
Common medlar,Mespilus germanica,1,,1,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Mesua,2,,2,,,,
Dawn redwood,Metasequoia,-1,,-1,,Metasequoia glyptostroboides,,
True sago palm,Metroxylon sagu ,2,,2,,Starch from the trunk,,
http://pfaf.org,Meum,2,,2,,PFAF = 3,,
,Microcitrus,2,,2,,,,
http://pfaf.org,Microseris,2,,2,,PFAF > 3,,
http://www.fruitipedia.com/,Milnea,2,syn,2,,[syn] Aglaia,,
,Mimosa,-1,,-1,,,,
Mexican mimosa,Mimosa distachya,3,,3,,,,
Needle bush,Mimosa farnesiana,2,syn,2,,[syn] Vachellia farnesiana,,
Bullet wood,Mimusops elengi,3,,3,,,,
http://pfaf.org,Mirabilis,2,,2,,PFAF = 3,,
Corduroy tamarind,Mischarytera lautereriana,2,,2,,,,
