locale,variant,ISO639.1,ISO639.2T,ISO639.2B,ISO639.3,ISO639.6,wikipedia,other,autonym,en,fr,de,ru,es,it,zh,ISO639.3_macro,scope,type,family,retired,wikipedia_url,notes
,,ss,ssw,ssw,ssw,,ss,,siswati,swati,swati,siswati,свати,swati,,"斯瓦特语, 史瓦济兰语",,individual,living,niger–congo,FALSE,,
,,st,sot,sot,sot,,st,,sesotho,"southern sotho, sesotho",sotho du sud,sesotho,сесото,sesotho,,南索托语,,individual,living,niger–congo,FALSE,,
,,su,sun,sun,sun,,su,,basa sunda,sundanese,soundanais,sundanesisch,сунданский,sundanés,,巽他语,,individual,living,austronesian,FALSE,,
,,sv,swe,swe,swe,,sv,,svenska,swedish,suédois,schwedisch,шведский,sueco,,瑞典语,,individual,living,indo-european,FALSE,,
,,sw,swa,swa,swa,,sw,,kiswahili,"swahili, swahili (generic), swahili (macrolanguage)",swahili,suaheli,суахили,suahelí,,"斯瓦希里语, 斯瓦西里语",,macro,living,,FALSE,,
,,ta,tam,tam,tam,,ta,,தமிழ்,tamil,tamoul,tamilisch,тамильский,tamil,,"泰米尔语, 坦米尔语, 淡米尔语",,individual,living,dravidian,FALSE,,"ancient, still spoken"
,,te,tel,tel,tel,,te,,తెలుగు,telugu,télougou,telugu,телугу,telugú,,泰卢固语,,individual,living,dravidian,FALSE,,
,,tg,tgk,tgk,tgk,,tg,,"тоҷикӣ, toçikī, tojikī, تاجیکی‎","tajik, tadzhik, tajiki, tajiki persian",tadjik,tadschikisch,таджикский,tayiko,,塔吉克语,,individual,living,indo-european,FALSE,,
,,th,tha,tha,tha,,th,,"ภาษาไทย, ไทย",thai,"thaï, thaïlandais","thai, thailändisch",тайский,tailandés,,泰语,,individual,living,tai–kadai,FALSE,,
,,ti,tir,tir,tir,,ti,,ትግርኛ,tigrinya,tigrigna,tigrinja,тигринья,tigriña,,提格里尼亚语、提格利尼亚语,,individual,living,afro-asiatic,FALSE,,
,,tk,tuk,tuk,tuk,,tk,,"түркмен, türkmen, تركمن, türkmençe, türkmen dili, түркменче, түркмен дили, تورکمن تیلی ,تورکمنچه","turkmen, turkmenian",turkmène,turkmenisch,туркменский,turcomano,,土库曼语,,individual,living,turkic,FALSE,,
,,tl,tgl,tgl,tgl,,tl,,"tagálog, wikang tagalog, tagalog",tagalog,tagalog,tagalog,тагальский,"tagalo, tagalog",,"塔加洛语, 塔加拉语, 他加禄语",,individual,living,austronesian,FALSE,,note: filipino (pilipino) has the code [fil]
,,tn,tsn,tsn,tsn,,tn,,setswana,tswana,tswana,tsuana,тсвана,setsuana,,茨瓦纳语,,individual,living,niger–congo,FALSE,,
,,to,ton,ton,ton,,to,,"faka-tonga, faka tonga, lea faka-tonga, lea fakatonga","tonga (tonga islands), tongan","tongan, tongan (îles tonga)",tongaisch,тонга (тонга исландский),tongano,,"汤加语, 东加语",,individual,living,austronesian,FALSE,,
,,tr,tur,tur,tur,,tr,,türkçe,turkish,turc,türkisch,турецкий,turco,,土耳其语,,individual,living,turkic,FALSE,,
,,ts,tso,tso,tso,,ts,,xitsonga,tsonga,tsonga,tsongaisch,тсонга,tsonga,,"聪加语, 宗加语",,individual,living,niger–congo,FALSE,,
,,tt,tat,tat,tat,,tt,,"tatarça, татар теле, tatar tele, tatarça, татарча",tatar,tatar,tatarisch,татарский,tártaro,,"塔塔尔语, 鞑靼语",,individual,living,turkic,FALSE,,
,,tw,twi,twi,twi,,tw,,twi,twi,twi,twi,тви,twi,,"契维语, 特威语, 多威语",aka,individual,living,niger–congo,FALSE,,covered by macrolanguage [ak/aka]
,,ty,tah,tah,tah,,ty,,"te reo tahiti, reo tahiti, reo mā`ohi",tahitian,tahitien,tahitianisch,таитянский,tahitiano,,塔希提语、大溪地语,,individual,living,austronesian,FALSE,,one of the reo mā`ohi (languages of french polynesia)
,,ug,uig,uig,uig,,ug,,"ئۇيغۇرچە, ئۇيغۇرچە, ئۇيغۇر تىلى, uyghurche","uighur, uyghur",ouïgour,uigurisch,уйгурский,uigur,,维吾尔语,,individual,living,turkic,FALSE,,
,,uk,ukr,ukr,ukr,,uk,,українська,ukrainian,ukrainien,ukrainisch,украинский,"ucranio, ucraniano",,乌克兰语,,individual,living,indo-european,FALSE,,
,,ur,urd,urd,urd,,ur,,اردو,urdu,ourdou,urdu,урду,urdu,,"乌尔都语, 乌都语, 晤鲁都语",,individual,living,indo-european,FALSE,,
,,uz,uzb,uzb,uzb,,uz,,"ўзбек, o‘zbek, oʻzbekcha, ўзбекча",uzbek,"ouzbek, ouszbek",usbekisch,узбекский,uzbeco,,"乌兹别克语, 乌孜别克语",,macro,living,,FALSE,,
,,ve,ven,ven,ven,,ve,,"tshivenḓa, tshivenda",venda,venda,tshivenda,венда,venda,,"文达语, 温达语",,individual,living,niger–congo,FALSE,,
,,vi,vie,vie,vie,,vi,,tiếng việt,vietnamese,vietnamien,vietnamesisch,вьетнамский,vietnamita,,"越南语, 京语",,individual,living,austroasiatic,FALSE,,
,,vo,vol,vol,vol,,vo,,volapük,volapük,volapük,volapük,волапюк,volapük,,沃拉普克语,,individual,constructed,constructed,FALSE,,constructed
,,wa,wln,wln,wln,,wa,,walon,walloon,wallon,wallonisch,валлонский,,,"瓦龙语, 瓦隆语, 华隆语",,individual,living,indo-european,FALSE,,
,,wo,wol,wol,wol,,wo,,"wolof, wollof",wolof,wolof,wolof,волоф,volofo,,"沃洛夫语, 渥鲁夫语",,individual,living,niger–congo,FALSE,,
,,xh,xho,xho,xho,,xh,,isixhosa,xhosa,xhosa,xhosa,коса,xhosa,,科萨语,,individual,living,niger–congo,FALSE,,
,,yi,yid,yid,yid,,yi,,"אידיש, ייִדיש",yiddish,yiddish,jiddisch,идиш,,,"依地语, 意第绪语",,macro,living,,FALSE,,
,,yo,yor,yor,yor,,yo,,yorùbá,yoruba,yoruba,,,,,约鲁巴语,,individual,living,niger–congo,FALSE,,
,,za,zha,zha,zha,,za,,"vahcuengh, cuengh, aƅcueŋƅ, 話僮","zhuang, chuang",zhuang,,чжуанский,,,"壮语, 壯語, zhuàngyǔ",,macro,living,tai-kadai,FALSE,,
,,zh,zho,chi,zho,,zh,,"中文, 汉语, 华语",chinese,chinois,chinesisch,китайский,,,"中文, 汉语, 华语",,macro,living,chinese,FALSE,,
,,zu,zul,zul,zul,,zu,,isizulu,zulu,zoulou,,зулу,,,祖鲁语,,individual,living,"niger-congo, niger–congo",FALSE,,
,,,aav,aav,,,,,,austro-asiatic languages,,,,,,,,collective,,,,,
,,,ace,ace,ace,,ace,,"aceh, acèh, bahsa acèh","achinese, acehnese",aceh,,ачехский,,,亚齐语,,individual,living,austronesian,FALSE,,
,,,ach,ach,ach,,,,,acoli,acoli,,ачоли,,,阿乔利语,,individual,living,nilo-saharan,FALSE,,
,,,ada,ada,ada,,,,,adangme,adangme,,адангме,,,阿当梅语,,individual,living,niger-congo,FALSE,,
,,,ady,ady,ady,,ady,,адыгэбзэ,"adyghe, adygei",adyghé,,адыгейский,adigué,,阿迪格语,,individual,living,northwest caucasian,FALSE,,
,,,afa,afa,,,,,,afro-asiatic languages,,,,,,,,collective,,,,,
,,,afh,afh,afh,,,,,afrihili,afrihili,afrihili,африхили,,,阿弗里希利语,,individual,constructed,(constructed),FALSE,,
,,,ain,ain,ain,,,,アイヌ イタク(イタック),"ainu (japan), ainu",aïnou (japon),ainu,айнский,,,阿伊努语,,individual,living,isolate,FALSE,,
,,,akk,akk,akk,,,,akkadû,akkadian,akkadien,akkadisch,аккадский,acadio,,阿卡德语,,individual,ancient,afro-asiatic,FALSE,,
,,,ale,ale,ale,,,,unangax tunuu,aleut,aléoute,,алеутский,,,阿留申语,,individual,living,eskimo-aleut,FALSE,,
,,,alg,alg,,,,,,algonquian languages,,,,,,,,collective,,,,,
,,,alt,alt,alt,,,,алтай тили,"southern altai, altai (southern)",altaï (du sud),südaltaisch,алтайский,altay,,南阿尔泰语,,individual,living,turkic,FALSE,,
,,,alv,alv,,,,,,atlantic-congo languages,,,,,,,,collective,,,,,
,,,ang,ang,ang,,ang,,"ænglisc, anglisc, englisc","old english (ca. 450-1100), old english, anglo-saxon",anglo-saxon,altenglisch,староанглийский,,,古英语,,individual,historical,indo-european,FALSE,,
,,,anp,anp,anp,,,,,angika,angika,,ангика,,,安吉卡语,,individual,living,indo-european,FALSE,,
,,,apa,apa,,,,,,apache languages,,,,,,,,collective,,,,,
,,,aqa,aqa,,,,,,alacalufan languages,,,,,,,,collective,,,,,
,,,aql,aql,,,,,,algic languages,,,,,,,,collective,,,,,
,,,arc,arc,arc,,arc,,"arāmāyā, ארמיא, ܐܪܡܝܐ","official aramaic (700-300 bce), official aramaic, imperial aramaic (700-300 bce), aramaic",araméen,aramäisch,арамейский,arameo,,阿拉米语,,individual,ancient,afro-asiatic,FALSE,,
,,,arn,arn,arn,,,,mapudungun,"mapudungun, mapuche, araucanian",araucan,mapudungun,"арауканский (мапудунгун, мапуче)",mapudungun,,阿劳坎语,,individual,living,araucanian,FALSE,,
,,,arp,arp,arp,,,,hinono'eitiit,arapaho,arapaho,,арапахо,arapaho,,阿拉帕霍语,,individual,living,algic,FALSE,,
,,,art,art,,,,,,artificial languages,,,,,,,,collective,,,,,
,,,arw,arw,arw,,,,,arawak,arawak,,аравакский,,,阿拉瓦克语,,individual,living,maipurean,FALSE,,
,,,ast,ast,ast,,ast,,asturianu,"asturian, asturleonese, bable, leonese",asturien,asturisch,астурийский,asturiano,,阿斯图里亚斯语,,individual,living,indo-european,FALSE,,
,,,ath,ath,,,,,,athapascan languages,,,,,,,,collective,,,,,
,,,auf,auf,,,,,,arauan languages,,,,,,,,collective,,,,,
,,,aus,aus,,,,,,australian languages,,,,,,,,collective,,,,,
,,,awa,awa,awa,,,,आवधी,awadhi,awadhi,,авадхи,awadhi,,阿瓦德语,,individual,living,indo-european,FALSE,,
,,,awd,awd,,,,,,arawakan languages,,,,,,,,collective,,,,,
,,,azc,azc,,,,,,uto-aztecan languages,,,,,,,,collective,,,,,
,,,bad,bad,,,,,,"banda, banda languages",,,,,,,,collective,,,,,
,,,bai,bai,,,,,,"bamileke, bamileke languages",,,,,,,,collective,,,,,
,,,bal,bal,bal,,,,بلوچی,baluchi,baloutchi,,,,,俾路支语,,macro,living,,FALSE,,
,,,ban,ban,ban,,,,basa bali,balinese,balinais,balinesisch,балийский,balinés,,"巴厘语, 峇里语",,individual,living,,FALSE,,
,,,bas,bas,bas,,,,ɓasaá,"basa, basa (cameroon)",basa,,баса,,,巴萨语,,individual,living,,FALSE,,
,,,bat,bat,,,,,,baltic languages,,,,,,,,collective,,,,,
,,,bej,bej,bej,,,,بداوية,"beja, bedawiyet",bedja,bedscha,беджа,beja,,"贝扎语, 贝贾语",,individual,living,,FALSE,,
,,,bem,bem,bem,,,,ichibemba,"bemba (zambia), bemba",bemba,bemba,бемба,bemba,,"本巴语, 别姆巴语",,individual,living,,FALSE,,
,,,ber,ber,,,,,,berber languages,,,,,,,,collective,,,,,
,,,bho,bho,bho,,,,"भोजपुरी, bhōjpurī",bhojpuri,bhojpurî,bhojpuri,бходжпури,bhojpurí,,博杰普尔语,,individual,living,,FALSE,,
,,,bik,bik,bik,,,,bicol,bikol,bikol,bikolano,бикольский,bikol,,比科尔语,,macro,living,,FALSE,,
,,,bin,bin,bin,,,,èdó,"bini, edo",bini,,бини,,,比尼语,,individual,living,,FALSE,,
,,,bla,bla,bla,,,,,"siksika, blackfoot","pied-noir, siksika",schwarzfuss,блэкфут,pies negros,,西克西卡语,,individual,living,,FALSE,,
,,,bnt,bnt,,,,,,bantu languages,,,,,,,,collective,,,,,
,,,bra,bra,bra,,,,,braj,braj,,,,,布拉吉语,,individual,living,,FALSE,,
,,,btk,btk,,,,,,batak languages,,,,,,,,collective,,,,,
,,,bua,bua,bua,,,,"буряад, буряад хэлэн, buryād xelen","buryat, buriat",bouriate,,бурятский,,,布里亚特语,,macro,living,,FALSE,,
,,,bug,bug,bug,,bug,,basa ugi,buginese,bugi,,бугийский,,,布吉语,,individual,living,,FALSE,,
,,,byn,byn,byn,,,,,"bilin, blin",bilen,,,,,比林语,,individual,living,,FALSE,,
,,,cad,cad,cad,,,,hasí:nay,caddo,caddo,caddo,каддо,caddo,,卡多语,,individual,living,,FALSE,,
,,,cai,cai,,,,,,central american indian languages,,,,,,,,collective,,,,,
,,,car,car,car,,,,,"galibi carib, carib","carib, caribe",,кариб,,,加勒比语,,individual,living,,FALSE,,
,,,cau,cau,,,,,,caucasian languages,,,,,,,,collective,,,,,
,,,cba,cba,,,,,,chibchan languages,,,,,,,,collective,,,,,
,,,ccn,ccn,,,,,,north caucasian languages,,,,,,,,collective,,,,,
,,,ccs,ccs,,,,,,south caucasian languages,,,,,,,,collective,,,,,
,,,cdc,cdc,,,,,,chadic languages,,,,,,,,collective,,,,,
,,,cdd,cdd,,,,,,caddoan languages,,,,,,,,collective,,,,,
,,,ceb,ceb,ceb,,ceb,,"sugboanon, sinugboanon, sinugboanong binisaya",cebuano,cebuano,cebuano,себуано,cebuano,,"宿务语, 宿雾语",,individual,living,,FALSE,,
,,,cel,cel,,,,,,celtic languages,,,,,,,,collective,,,,,
,,,chb,chb,chb,,,,,chibcha,chibcha,,чибча,chibcha,,奇布查语,,individual,extinct,,FALSE,,
,,,chg,chg,chg,,,,جغتای,chagatai,djaghataï,tschagataisch,чагатайский,,,"查加台语, 查加泰语, 察合台语",,individual,extinct,,FALSE,,
,,,chk,chk,chk,,,,,chuukese,chuuk,chuukesisch,чукотский,,,丘克语,,individual,living,,FALSE,,
,,,chm,chm,chm,,,,марий,"mari (russia), mari",mari,mari,марийский,mari,,马里语,,macro,living,,FALSE,,
,,,chn,chn,chn,,,,chinuk wawa,chinook jargon,jargon chinook,,чинук жаргон,jerga chinook,,奇努克混合语,,individual,living,,FALSE,,
,,,cho,cho,cho,,cho,,"chahta, choctaw",choctaw,choctaw,,чоктав,choctaw,,乔克托语,,individual,living,,FALSE,,
,,,chp,chp,chp,,,,"ᑌᓀᓲᒢᕄᓀ, dëne sųłiné","chipewyan, dene suline",chipewyan,chipewyan,чипевьян,,,奇佩维安语,,individual,living,,FALSE,,
,,,chr,chr,chr,,chr,,ᏣᎳᎩ,cherokee,cherokee,cherokee,чероки,cheroqui,,切罗基语,,individual,living,,FALSE,,
,,,chy,chy,chy,,chy,,"tsêhést, tsetsêhestâhese",cheyenne,cheyenne,,чейенн,cheyén,,夏延语,,individual,living,,FALSE,,
,,,cmc,cmc,,,,,,chamic languages,,,,,,,,collective,,,,,
,,,cop,cop,cop,,,,ⲙⲉⲧⲛ̀ⲣⲉⲙⲛ̀ⲭⲏⲙⲓ,coptic,copte,koptisch,коптский,copto,,科普特语,,individual,extinct,,FALSE,,
,,,cpe,cpe,,,,,,"english based creoles and pidgins, english creole, english-based creole",,,,,,,,collective,,,,,
,,,cpf,cpf,,,,,,french-based creoles and pidgins,,,,,,,,collective,,,,,
,,,cpp,cpp,,,,,,portuguese-based creoles and pidgins,,,,,,,,collective,,,,,
,,,crh,crh,crh,,crh,,"къырым татар, qırımtatarca, qırımtatar tili, къырымтатарджа, къырымтатар тили","crimean, crimean tatar, crimean turkish",tatar de crimé,krimtatarisch,крымскотатарский,tártaro de crimea,,克里米亚鞑靼语,,individual,living,,FALSE,,
,,,crp,crp,,,,,,creoles and pidgins,,,,,,,,collective,,,,,
,,,csb,csb,csb,,csb,,kaszëbsczi,kashubian,cachoube,kaschubisch,кашубский,casubio,,卡舒比语,,individual,living,,FALSE,,
,,,csu,csu,,,,,,central sudanic languages,,,,,,,,collective,,,,,
,,,cus,cus,,,,,,cushitic languages,,,,,,,,collective,,,,,
,,,dak,dak,dak,,,,lakhota,dakota,dakota,,дакота,dakota,,达科他语,,individual,living,,FALSE,,
,,,dar,dar,dar,,,,дарган,dargwa,dargwa,darginisch,,dargínico,,达尔格瓦语,,individual,living,,FALSE,,
,,,day,day,,,,,,land dayak languages,,,,,,,,collective,,,,,
,,,del,del,del,,,,lënape,delaware,delaware,,делаварский,delaware,,特拉华语,,macro,living,,FALSE,,
,,,den,den,den,,,,,"slave (athapascan), slave","esclave, esclave (athapascan)",,,,,史拉维语,,macro,living,,FALSE,,
,,,dgr,dgr,dgr,,,,tłįchǫ,dogrib,dogrib,,,,,多格里布语,,individual,living,,FALSE,,
,,,din,din,din,,,,thuɔŋjäŋ,dinka,dinka,,динка,,,丁卡语,,macro,living,,FALSE,,
,,,dmn,dmn,,,,,,mande languages,,,,,,,,collective,,,,,
,,,doi,doi,doi,,,,डोगरी,"dogri (macrolanguage), dogri, dogri (generic)","dogri , dogri (générique)","dogri, dogri (allgemein)",догри,dogri,,多格拉语,,macro,living,,FALSE,,
,,,dra,dra,,,,,,dravidian languages,,,,,,,,collective,,,,,
,,,dsb,dsb,dsb,,dsb,,dolnoserbski,lower sorbian,bas-sorabe,nieder-sorbisch,нижнелужицкий,bajo sorbio,,"下索布语, 低地文德语",,individual,living,,FALSE,,
,,,dua,dua,dua,,,,duala,duala,douala,,дуала,,,杜亚拉语,,individual,living,,FALSE,,
,,,dum,dum,dum,,,,,"middle dutch (ca. 1050-1350), middle dutch, middle dutch (ca.1050-1350)",néerlandais moyen,mittelniederländisch,средненидерландский,neerlandés medio,,中古荷兰语,,individual,historical,,FALSE,,
,,,dyu,dyu,dyu,,,,julakan,dyula,dioula,dioula,диула,,,迪尤拉语,,individual,living,,FALSE,,
,,,efi,efi,efi,,,,,efik,efik,,эфик,,,埃菲克语,,individual,living,,FALSE,,
,,,egx,egx,,,,,,egyptian languages,,,,,,,,collective,,,,,
,,,egy,egy,egy,,,,,"egyptian (ancient), egyptian","égyptien, (ancien) égyptien",ägyptisch,древнеегипетский,egipcio,,埃及语,,individual,ancient,,FALSE,,
,,,eka,eka,eka,,,,,ekajuk,ekajuk,,экаджук,,,埃克丘克语,,individual,living,,FALSE,,
,,,elx,elx,elx,,,,,elamite,élamite,elamisch,эламский,elamita,,埃兰语,,individual,ancient,,FALSE,,
,,,enm,enm,enm,,,,,"middle english (1100-1500), middle english",anglais moyen,mittelenglisch,среднеанглийский,inglés medio,,中古英语,,individual,historical,,FALSE,,
,,,esx,esx,,,,,,eskimo-aleut languages,,,,,,,,collective,,,,,
,,,euq,euq,,,,,,basque languages,,,,,,,,collective,,,,,
,,,ewo,ewo,ewo,,,,,ewondo,éwondo,,эвондо,yaundé,,埃翁多语,,individual,living,,FALSE,,
,,,fan,fan,fan,,,,fang,"fang (equatorial guinea), fang",fang,,фанг,fangüé,,芳语,,individual,living,,FALSE,,
,,,fat,fat,fat,,,,,fanti,fanti,fante,фанти,,,芳蒂语,aka,individual,living,,FALSE,,
,,,fil,fil,fil,,,,filipino,"filipino, pilipino",filipino,filipinisch,,filipino,,菲律宾语,,individual,living,austronesian,FALSE,,
,,,fiu,fiu,,,,,,finno-ugrian languages,,,,,,,,collective,,,,,
,,,fon,fon,fon,,,,fɔngbè,fon,fon,,фон,,,丰语,,individual,living,,FALSE,,
,,,fox,fox,,,,,,formosan languages,,,,,,,,collective,,,,,
,,,frm,frm,frm,,,,,"middle french (ca. 1400-1600), middle french, middle french (ca.1400-1600)",moyen français,mittelfranzösisch,среднефранцузский,francés medio,,中古法语,,individual,historical,indo-european,FALSE,,
,,,fro,fro,fro,,,,,"old french (842-ca. 1400), old french, old french (842-ca.1400)",ancien français,altfranzösisch,старофранцузский,francés antiguo,,古法语,,individual,historical,indo-european,FALSE,,
,,,frr,frr,frr,,frr,,"frasch, nordfriisk","northern frisian, north frisian",frison septentrional,nordfriesisch,севернофризский,,,北弗里西语,,individual,living,indo-european,FALSE,,
,,,frs,frs,frs,,,,,eastern frisian,frison (oriental),ostfriesisch,,,,东弗里西亚语,,individual,living,indo-european,FALSE,,
,,,fur,fur,fur,,fur,,furlan,friulian,frioulan,friaulisch,фриульский,friulo,,弗留利语,,individual,living,indo-european,FALSE,,
,,,gaa,gaa,gaa,,,,gã,ga,ga,ga,га,,,加语,,individual,living,,FALSE,,
,,,gay,gay,gay,,,,,gayo,gayo,gayo,гайо,,,,,individual,living,,FALSE,,
,,,gba,gba,gba,,,,,"gbaya (central african republic), gbaya",gbaya,,,,,巴亚语,,macro,living,,FALSE,,
,,,gem,gem,,,,,,germanic languages,,,,,,,,collective,,,,,
,,,gez,gez,gez,,,,ግዕዝ,geez,guèze,,геэз,ge'ez,,吉兹语,,individual,ancient,,FALSE,,
